tau,precision,recall,f1,tpr,fpr,youden_j
1.5105182,1.0,0.0036719706242350062,0.007317073170731708,0.0036719706242345565,0.0,0.0036719706242345565
1.5202966,1.0,0.0036719706242350062,0.007317073170731708,0.0036719706242345565,0.0,0.0036719706242345565
1.530075,1.0,0.0036719706242350062,0.007317073170731708,0.0036719706242345565,0.0,0.0036719706242345565
1.5398533,1.0,0.0024479804161566705,0.004884004884004884,0.002447980416156371,0.0,0.002447980416156371
1.5496317,1.0,0.0024479804161566705,0.004884004884004884,0.002447980416156371,0.0,0.002447980416156371
1.5594102,1.0,0.0024479804161566705,0.004884004884004884,0.002447980416156371,0.0,0.002447980416156371
1.5691886,1.0,0.0024479804161566705,0.004884004884004884,0.002447980416156371,0.0,0.002447980416156371
1.578967,1.0,0.0024479804161566705,0.004884004884004884,0.002447980416156371,0.0,0.002447980416156371
1.5887454,1.0,0.0012239902080783353,0.0024449877750611247,0.0012239902080781854,0.0,0.0012239902080781854
1.5985237,0.0,0.0,0.0,0.0,0.0,0.0
